actuator_pitch_m,fried_r0_m,fitting_error_waves
0.02,0.16,0.007877767766374678
0.04,0.16,0.014036586409740972
0.06,0.16,0.01967905408961328
0.08,0.16,0.025010353679008675
0.1,0.16,0.030121609739851878
0.12,0.16,0.03506408812530174
0.14,0.16,0.03987048700889256
0.16,0.16,0.0445633840657307
0.18,0.16,0.04915925187778711
0.2,0.16,0.053670607011115194
0.22,0.16,0.05810726191772649
0.24,0.16,0.062477102327182434
0.26,0.16,0.06678659476573941
0.28,0.16,0.07104113153570688
0.3,0.16,0.07524527314284558
0.32,0.16,0.0794029234803102
0.34,0.16,0.08351745946652424
0.36,0.16,0.0875918289653172
0.38,0.16,0.09162862608151817
0.4,0.16,0.09563014997603288
0.42,0.16,0.09959845145172344
0.44,0.16,0.10353537031429497
0.46,0.16,0.10744256567126201
0.48,0.16,0.11132154075281928
0.5,0.16,0.11517366343200558
0.52,0.16,0.11900018333151108
0.54,0.16,0.12280224619430401
0.56,0.16,0.126580906040801
0.58,0.16,0.13033713552034412
0.6,0.16,0.13407183477816165
0.62,0.16,0.13778583909306183
0.64,0.16,0.14147992549040764
0.66,0.16,0.14515481849555695
0.68,0.16,0.14881119516212837
0.7000000000000001,0.16,0.15244968948511858
0.72,0.16,0.15607089628953788
0.74,0.16,0.1596753746697223
0.76,0.16,0.16326365104197
0.78,0.16,0.16683622186299912
0.8,0.16,0.17039355605843218
